"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2026","68.349","68.808","69.070","67.919","2.62M","-0.78%"
"06/13/2026","68.888","66.789","69.487","66.623","2.66M","3.10%"
"06/12/2026","66.814","66.826","68.782","65.961","5.32M","-0.04%"
"06/11/2026","66.844","63.294","67.302","63.260","5.10M","5.75%"
"06/10/2026","63.207","64.986","65.673","62.383","5.51M","-2.68%"
"06/09/2026","64.948","66.784","67.452","63.556","5.72M","-2.79%"
"06/08/2026","66.812","66.371","68.080","64.989","5.49M","0.50%"
"06/07/2026","66.477","62.210","67.740","61.963","5.86M","6.88%"
"06/06/2026","62.197","63.890","64.822","60.200","6.37M","-2.18%"
"06/05/2026","63.582","68.740","69.049","61.519","12.46M","-7.68%"
"06/04/2026","68.870","72.360","72.487","67.043","9.19M","-4.75%"
"06/03/2026","72.302","74.333","75.655","70.966","6.98M","-2.56%"
"06/02/2026","74.202","81.127","81.208","72.763","6.38M","-8.70%"
"06/01/2026","81.272","82.397","83.011","79.143","4.04M","-1.39%"
"05/31/2026","82.416","82.742","83.381","81.353","1.76M","-0.32%"
"05/30/2026","82.683","82.036","83.122","81.862","2.20M","0.85%"
"05/29/2026","81.985","82.287","83.178","80.423","3.81M","-0.14%"
"05/28/2026","82.100","82.477","82.929","80.062","4.19M","-0.39%"
"05/27/2026","82.419","83.825","84.753","82.111","3.50M","-1.52%"
"05/26/2026","83.692","85.033","86.096","83.203","3.59M","-1.59%"
"05/25/2026","85.047","85.320","86.466","84.738","2.39M","-0.27%"
"05/24/2026","85.281","85.724","86.861","83.754","3.35M","-0.52%"
"05/23/2026","85.731","84.349","87.384","81.700","4.98M","1.63%"
"05/22/2026","84.358","87.216","87.805","84.084","3.85M","-3.29%"
"05/21/2026","87.229","86.116","87.930","85.333","4.18M","1.26%"
"05/20/2026","86.142","84.245","87.027","83.860","3.52M","2.23%"
"05/19/2026","84.264","85.356","85.887","83.773","2.73M","-1.28%"
"05/18/2026","85.358","84.985","85.755","83.548","4.30M","0.16%"
"05/17/2026","85.221","86.681","87.260","83.551","2.84M","-1.51%"
"05/16/2026","86.530","89.143","89.414","85.647","2.80M","-3.03%"
"05/15/2026","89.231","92.140","92.619","88.625","4.27M","-3.18%"
"05/14/2026","92.161","91.298","93.635","89.850","4.06M","1.11%"
"05/13/2026","91.144","94.305","95.934","90.280","4.69M","-3.34%"
"05/12/2026","94.290","97.324","97.658","93.648","4.16M","-3.14%"
